병원명,주소,전화번호,홈페이지URL,시도,진료과목,YKIHO,네이버플레이스URL,플레이스ID,구글검색URL
(사)한국한센복지협회서울특별시지부부설의원,"서울특별시 동작구 상도로 170, 2층 (상도동)",02-812-1894,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzIxIyQxIyQxIyQ5MiQzNjEwMDIjNzEjJDEjJDgjJDgz,,,http://www.seoul.khwa.or.kr/sub.asp?maincode=451&sub_sequence=481&sub_sub_sequence=
(의) 열린의료재단 동대문열린의원,"서울특별시 종로구 종로 335, 원풍빌딩 6층 (창신동)",02-924-0875,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxNzAyIzUxIyQxIyQxIyQ4MiQzNjE0ODEjODEjJDEjJDIjJDgz,,,https://ymf-ddm.co.kr/
(의) 열린의료재단 상봉열린의원,"서울특별시 중랑구 면목로 492, 주연빌딩 7,8 일부층 (상봉동)",02-435-0875,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMTkxIzExIyQxIyQzIyQ2MiQzNjEwMDIjNzEjJDEjJDgjJDgz,,,https://ymf-sb.co.kr/
(의) 열린의료재단 영등포열린의원,"서울특별시 영등포구 경인로 841, 영등포우체국 4,5층 (영등포동4가)",02-2676-0832,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMTkxIzExIyQxIyQ3IyQ2MiQyNjE4MzIjNzEjJDEjJDgjJDgz,,,
(의)미래의료재단리드림의원,"서울특별시 강남구 테헤란로 513, (삼성동, B1일부,4,9,10층,테헤란로81길10,B1일부,삼성로92길29,3,4)",02-540-0001,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzExIyQxIyQzIyQ5OSQ0NjEwMDIjODEjJDEjJDIjJDgz,,,
(의)성광의료재단 차움의원,"서울특별시 강남구 도산대로 442, 피엔폴루스 2층일부, 3층일부 (청담동)",02-3015-5000,http://www.chaum.net,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMzUxIzUxIyQxIyQxIyQ5OSQ0NjE0ODEjNzEjJDEjJDgjJDgz,,,
(재)이랜드재단 이랜드의원,"서울특별시 금천구 가산디지털1로 186, 제이플라츠 401~402호 (가산동)",2635-8668,http://www.elandclinic.com,서울,피부과,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxNzAyIzExIyQxIyQzIyQ4OSQyNjEyMjIjNTEjJDEjJDIjJDgz,,,
(재)천주교서울대교구유지재단 전진상의원,"서울특별시 금천구 탑골로3가길 22, 전진상사회복지관 (시흥동)",02-802-9311,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzUxIyQxIyQxIyQxMyQzNjE0ODEjNzEjJDEjJDgjJDgz,,,
(주)제이시스메디칼부속의원,"서울특별시 강남구 강남대로 566, 신영와코루빌딩 1층 일부 (논현동)",,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzExIyQyIyQzIyQwMCQyNjE4MzIjNDEjJDEjJDQjJDgz,https://place.naver.com/place/1152372563,1152372563,
10년전당신의오늘의원,"서울특별시 강남구 도산대로 452, JS빌딩 3층 (청담동)",02-541-0333,http://www.chps.co.kr,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxNzAyIzIxIyQxIyQ5IyQ3MiQyNjE4MzIjNzEjJDEjJDgjJDgz,,,
111의원,"서울특별시 강남구 도산대로 111, (신사동, S-TOWER 11~12층)",02-540-8111,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzIxIyQxIyQxIyQ3MiQ0NjEwMDIjNjEjJDEjJDQjJDgz,https://place.naver.com/place/37332503,37332503,
123의원,"서울특별시 강남구 삼성로 212, 241호 (대치동, 은마상가 B블럭)",02-567-9123,http://www.123nunco.com,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMzUxIzExIyQxIyQzIyQ4OSQyNjEyMjIjNDEjJDEjJDQjJDgz,,,
1삼성탑의원,"서울특별시 성동구 고산자로 255, 5층 (도선동, 케이-타워)",02-2299-8875,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxOTYxIzMxIyQyIyQzIyQwMCQyNjEyMjIjNDEjJDEjJDgjJDgz,https://place.naver.com/place/1079665737,1079665737,
24시열린의원,"서울특별시 광진구 능동로 90, 3층 (자양동, 더클래식500)",02-455-2475,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMTkxIzIxIyQxIyQ1IyQ2MiQyNjEwMDIjNTEjJDEjJDYjJDgz,https://place.naver.com/place/35559588,35559588,
24시열린의원,"서울특별시 마포구 월드컵북로 396, 누리꿈스퀘어 지하층 B1095호 (상암동)",02-2132-2475,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzIxIyQxIyQxIyQ4MiQzNjE4MzIjNDEjJDEjJDgjJDgz,https://place.naver.com/place/35559588,35559588,
24시열린의원,"서울특별시 송파구 백제고분로 187, 2층 205,206호 (잠실동, 파크인수)",02-415-2475,,서울,피부과,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzMxIyQxIyQ3IyQwMyQyNjEwMDIjNTEjJDEjJDIjJDgz,https://place.naver.com/place/35559588,35559588,
